areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,London,E12000007,2020-02-24,1,2
region,London,E12000007,2020-02-23,0,1
region,London,E12000007,2020-02-22,0,1
region,London,E12000007,2020-02-21,0,1
region,London,E12000007,2020-02-20,0,1
region,London,E12000007,2020-02-19,0,1
region,London,E12000007,2020-02-18,0,1
region,London,E12000007,2020-02-17,0,1
region,London,E12000007,2020-02-16,0,1
region,London,E12000007,2020-02-15,0,1
region,London,E12000007,2020-02-14,0,1
region,London,E12000007,2020-02-13,0,1
region,London,E12000007,2020-02-12,0,1
region,London,E12000007,2020-02-11,1,1
