X,Y,objectid,globalid,CreationDate,Creator,EditDate,Editor,date_updated,under_19,_20_39,_40_49,_50_59,_60_69,_70_100,percent_female,percent_male,prov_join_field
0,0,23,392d507d-2d9b-4661-856b-7a63f28233f4,2020/05/15 23:31:47.717+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/05/15 14:30:00+00,22,38,38,58,57,47,0,0,NL
0,0,24,c537341b-6fbc-4d24-8621-ad999ef5eb2e,2020/05/28 17:39:12.528+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/05/28 14:30:00+00,22,38,39,58,57,47,0,0,NL
0,0,25,f837aa3f-d68a-4d67-86df-3d708b538196,2020/07/10 16:47:30.978+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/07/10 14:30:00+00,22,38,39,59,57,47,0,0,NL
0,0,26,8e36f81a-17c4-4530-8637-73ff8e0229ff,2020/07/21 16:49:55.346+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/07/21 14:30:00+00,22,39,39,59,57,47,0,0,NL
0,0,27,36807d62-25c7-451b-8b80-3c51402eeebc,2020/07/22 16:41:19.244+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/07/22 14:30:00+00,23,39,39,59,57,47,0,0,NL
0,0,28,1d3ab2f1-c10b-4dd1-8a76-1b4c894cda64,2020/07/24 17:16:33.014+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/07/24 14:30:00+00,23,40,39,59,57,47,0,0,NL
-57.92467999,48.94575642,29,1fb1df5c-05e1-4ade-b18a-ea2c8309bd16,2020/07/26 16:36:51.357+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/07/26 14:30:00+00,23,41,39,59,57,47,0,0,NL
-57.9245041,48.9457336,30,af6a61e5-fc7b-40c2-8d0c-167467ddd3df,2020/08/07 16:53:17.225+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/08/07 14:30:00+00,23,42,39,59,57,47,0,0,NL
0,0,31,a4bb8333-fe53-4bc7-8319-24d324bb1871,2020/08/10 16:42:07.088+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/08/10 14:30:00+00,23,43,39,59,57,47,0,0,NL
0,0,32,897699cd-5e39-401a-84a0-2d271c479e0d,2020/08/28 17:06:10.164+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/08/28 14:30:00+00,24,43,39,59,57,47,0,0,NL
-52.7693432,47.5534005,33,d6513d3e-4e85-4633-8730-6591e5fbf908,2020/09/05 16:58:08.333+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/09/05 14:30:00+00,24,44,39,59,57,47,0,0,NL
-57.9245163,48.9457355,34,ccf823fb-4ba2-4336-b267-e86fa232d55f,2020/09/12 16:38:18.274+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/09/12 14:30:00+00,24,44,40,59,57,47,0,0,NL
0,0,35,7b18aadf-ccd8-4811-a8fc-c8def758e806,2020/09/18 16:43:20.068+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/09/18 14:30:00+00,25,44,40,59,57,47,0,0,NL
-57.9247145,48.9457618,36,4b197ddf-d484-47a4-a77e-0cca0e700ae1,2020/09/27 17:18:12.340+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/09/27 14:30:00+00,24,46,40,59,57,47,0,0,NL
0,0,37,94332c85-aebf-4c8d-9c5b-ecde8a3a9136,2020/09/30 18:50:58.252+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/09/30 14:30:00+00,24,47,40,59,57,47,0,0,NL
-57.924501,48.9457049,38,e53514c5-26bc-450e-8fb7-550323e3277a,2020/10/01 19:54:59.497+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/10/01 14:30:00+00,24,48,40,59,57,47,0,0,NL
-57.9245191,48.9456884,39,8fe42105-c2f9-41cb-8a60-e6a9aba98211,2020/10/03 20:00:02.493+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/10/03 14:30:00+00,24,48,40,59,58,47,0,0,NL
-57.9245886,48.9457047,40,f413842c-1ead-4ed4-b026-73dba5e5d815,2020/10/04 21:55:01.348+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/10/04 14:30:00+00,24,48,40,59,59,47,0,0,NL
0,0,41,68430095-6c77-4a4d-b776-1be792d2a1d4,2020/10/09 16:36:24.682+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/10/09 14:30:00+00,20,48,42,59,59,47,0,0,NL
-57.9245284,48.9456967,42,93ed4f4f-722d-4f31-bea2-0df3fe2e9b5a,2020/10/10 17:58:04.337+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/10/10 14:30:00+00,23,48,42,59,59,47,0,0,NL
-57.9245059,48.9458591,43,a8c87e3e-368b-4d0d-970e-fcbd6c22d62c,2020/10/12 16:41:40.109+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/10/12 14:30:00+00,23,49,42,59,59,47,0,0,NL
-57.9245373,48.9456871,44,b556bbd6-031f-475b-b8fe-4bbe2fb85937,2020/10/15 19:11:20.972+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/10/15 14:30:00+00,27,49,43,59,59,47,0,0,NL
0,0,45,e4908f47-fa1d-49f8-bffc-55c3b998b858,2020/10/16 16:46:46.342+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/10/16 14:30:00+00,27,49,45,59,60,47,0,0,NL
0,0,46,9747826f-d0f5-4acf-be4a-04ebe1e34364,2020/10/22 16:41:32.199+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/10/22 14:30:00+00,27,50,45,59,60,47,0,0,NL
-57.9245366,48.9457185,47,cdf0ad98-77c5-4140-81fd-39537b9070ba,2020/10/24 17:11:32.530+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/10/24 14:30:00+00,27,50,45,60,60,47,0,0,NL
-57.9246457,48.945737,48,488e13b5-5e6b-48c8-b833-17ea232419f8,2020/10/25 16:38:05.535+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/10/25 14:30:00+00,27,50,45,60,61,47,0,0,NL
0,0,49,9e28dfba-9e99-464e-8e70-b4ba57c1f6b7,2020/10/26 16:33:58.101+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/10/26 14:30:00+00,27,50,45,61,61,47,0,0,NL
0,0,50,7b5ff9a1-611c-4459-8323-47d6b8c121d1,2020/11/04 16:27:24.752+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/04 15:30:00+00,27,50,45,62,61,47,0,0,NL
0,0,51,b18f3233-8d0d-4d85-b3fc-641166eb7657,2020/11/05 17:51:05.396+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/05 15:30:00+00,27,51,45,63,61,47,0,0,NL
-57.9245509,48.9457124,52,0201d923-4b22-4eb1-8349-dceb4ca95e84,2020/11/07 17:32:24.219+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/07 15:30:00+00,27,52,45,63,62,47,0,0,NL
-57.9247002,48.9457009,53,fd898b68-1a7c-48b1-a49f-02ecffa64749,2020/11/08 17:49:28.499+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/08 15:30:00+00,27,53,45,63,62,47,0,0,NL
-57.9245462,48.945663,54,8262b252-32e5-4e89-87f0-cf7d7fc7ae26,2020/11/11 17:33:31.213+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/11 15:30:00+00,27,52,45,63,64,47,0,0,NL
0,0,55,840e4e74-ed6d-45c6-84b0-62dafe2848f5,2020/11/13 17:40:45.875+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/13 15:30:00+00,27,53,45,63,64,47,0,0,NL
-57.924525,48.9457134,56,80a453b1-1bcb-4ead-a352-dde6781d8ea3,2020/11/14 17:35:46.030+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/11/14 15:30:00+00,27,55,46,64,62,47,0,0,NL
