X,Y,objectid,globalid,prov,regional_health_authority,date_updated,total_number_of_cases,new_cases,currently_hospitalized,current_in_icu,total_number_recovered,total_number_of_deaths,active_cases,total_people_tested,Population,CasesPer10KPop,CreationDate,Creator,EditDate,Editor
,,1,{2A599D1C-84B7-4AFC-BD10-92D29CA05E12},NL,Western_RHA,2020/03/25 18:30:00+00,1,1,0,0,0,0,1,0,7.414,0.134879956838414,2020/05/05 18:00:01+00,phearns,2020/05/05 18:05:26+00,phearns
,,2,{3BE7D707-CB17-43C4-AB86-CCA86928C28D},NL,western_rha,2020/03/26 17:29:59+00,1,0,0,0,0,0,1,0,7.414,0.134879956838414,2020/05/05 18:00:01+00,phearns,2020/12/10 11:52:28+00,phearns
,,3,{4CA17D2E-4D3F-4477-9020-9B1C6E4E7AE9},NL,western_rha,2020/03/27 17:15:00+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:01+00,phearns,2020/12/10 11:52:28+00,phearns
,,4,{700895FD-7867-4CF8-A8BC-393EA90ECF32},NL,Western_RHA,2020/03/28 17:15:00+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:02+00,phearns,2020/12/10 11:52:29+00,phearns
,,5,{B53C61E0-1B8A-4123-9ECD-2ECEACDC51B0},NL,Western_RHA,2020/03/29 17:15:00+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:02+00,phearns,2020/12/10 11:52:29+00,phearns
,,6,{1FEE98DA-2C7A-4766-A73D-C4E88C738A3A},NL,Western_RHA,2020/03/30 17:15:00+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:02+00,phearns,2020/12/10 11:52:29+00,phearns
,,7,{0CF5EBFD-2B9F-4C8A-96E4-2D68486D167C},NL,Western_RHA,2020/03/31 16:44:59+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:02+00,phearns,2020/12/10 11:52:29+00,phearns
,,8,{0E81297E-97F2-4A8B-90E3-035CB4E8ACCD},NL,Western_RHA,2020/04/01 16:44:59+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:02+00,phearns,2020/12/10 11:52:29+00,phearns
,,9,{5D52FBA7-A223-46C7-B7C7-0D0DEF251A18},NL,Western_RHA,2020/04/02 16:44:59+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:03+00,phearns,2020/12/10 11:52:30+00,phearns
,,10,{D3E74981-6AF4-486B-8DF6-7A4F0F9ED983},NL,Western_RHA,2020/04/03 16:30:00+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:03+00,phearns,2020/12/10 11:52:30+00,phearns
,,11,{D701AFE9-BB40-4ED0-A8C0-54FB9F7EA93A},NL,Western_RHA,2020/04/04 16:30:00+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:03+00,phearns,2020/12/10 11:52:30+00,phearns
,,12,{7AF29C7B-E456-4DA2-BC90-0D384E0FC3A2},NL,Western_RHA,2020/04/05 17:29:59+00,1,0,0,0,1,0,0,349,7.414,0.134879956838414,2020/05/05 18:00:03+00,phearns,2020/12/10 11:52:30+00,phearns
,,13,{526B1229-3A2A-4739-871B-91EDB140D1EB},NL,Western_RHA,2020/04/06 17:29:59+00,1,0,0,0,1,0,0,363,7.414,0.134879956838414,2020/05/05 18:00:03+00,phearns,2020/12/10 11:52:30+00,phearns
,,14,{D64118C7-CFE6-4504-BF03-3C4195CCA22E},NL,Western_RHA,2020/04/07 17:29:59+00,1,0,0,0,1,0,0,375,7.414,0.134879956838414,2020/05/05 18:00:03+00,phearns,2020/12/10 11:52:30+00,phearns
,,15,{977ABF6E-C389-452A-A373-8C886AD18D70},NL,Western_RHA,2020/04/08 17:15:00+00,1,0,0,0,1,0,0,382,7.414,0.134879956838414,2020/05/05 18:00:03+00,phearns,2020/12/10 11:52:30+00,phearns
,,16,{2D907A93-0E79-4930-9563-6D037F0318A0},NL,Western_RHA,2020/04/09 17:45:00+00,1,0,0,0,1,0,0,414,7.414,0.134879956838414,2020/05/05 18:00:04+00,phearns,2020/12/10 11:52:31+00,phearns
,,17,{FB4B3EC7-D71B-4DC3-A065-5FDCAE43618A},NL,Western_RHA,2020/04/10 20:29:59+00,1,0,0,0,1,0,0,414,7.414,0.134879956838414,2020/05/05 18:00:04+00,phearns,2020/12/10 11:52:31+00,phearns
,,18,{C208BDAE-6B15-4C36-B50C-270AEF8718CE},NL,Western_RHA,2020/04/11 17:15:00+00,1,0,0,0,1,0,0,442,7.414,0.134879956838414,2020/05/05 18:00:04+00,phearns,2020/12/10 11:52:31+00,phearns
,,19,{08D7B198-2D12-4295-AFC0-30DBD346A6AB},NL,Western_RHA,2020/04/12 16:44:59+00,1,0,0,0,1,0,0,445,7.414,0.134879956838414,2020/05/05 18:00:04+00,phearns,2020/12/10 11:52:31+00,phearns
,,20,{0D30E369-65AB-43AE-BB9C-7DD8D8E39A8B},NL,Western_RHA,2020/04/13 19:15:00+00,3,2,0,0,1,0,2,472,7.414,0.404639870515241,2020/05/05 18:00:04+00,phearns,2020/12/10 11:52:31+00,phearns
,,21,{E7F81547-C1C9-41BE-9217-49B15623A820},NL,Western_RHA,2020/04/14 17:29:59+00,3,0,0,0,1,0,2,485,7.414,0.404639870515241,2020/05/05 18:00:04+00,phearns,2020/12/10 11:52:32+00,phearns
,,22,{B8C0BED6-D08B-409E-8A30-8973EDEF3ACC},NL,Western_RHA,2020/04/15 17:00:00+00,4,1,0,0,1,0,3,488,7.414,0.539519827353655,2020/05/05 18:00:05+00,phearns,2020/12/10 11:52:32+00,phearns
,,23,{7F7CAFB5-13A5-44E9-8010-B6945CAA54B8},NL,Western_RHA,2020/04/16 16:44:59+00,4,0,0,0,1,0,3,539,7.414,0.539519827353655,2020/05/05 18:00:05+00,phearns,2020/12/10 11:52:32+00,phearns
,,24,{08E96C9F-0C15-4B02-836C-ECE49CFF4CCC},NL,Western_RHA,2020/04/17 17:00:00+00,4,0,0,0,1,0,3,539,7.414,0.539519827353655,2020/05/05 18:00:05+00,phearns,2020/12/10 11:52:32+00,phearns
0.0,0.0,25,{5105D580-A353-4EE7-B639-2DC26F19F8C1},NL,Western_RHA,2020/04/18 17:29:00+00,4,0,0,0,1,0,3,569,7.414,0.539519827353655,2020/05/05 18:00:05+00,phearns,2020/05/05 18:05:26+00,phearns
0.0,0.0,26,{63673EB5-88F1-4A0B-A33F-7AFAA9A451A0},NL,Western_RHA,2020/04/19 17:29:59+00,4,0,1,0,1,0,3,628,7.414,0.539519827353655,2020/05/05 18:00:05+00,phearns,2020/05/05 18:05:26+00,phearns
,,27,{ECC0880D-5461-4704-BD8F-C48A241E6690},NL,LabradorGrenfell_RHA,2020/03/25 18:30:00+00,3,0,0,0,1,0,2,0,3.605,0.832177531206657,2020/05/05 18:00:06+00,phearns,2020/12/10 11:52:32+00,phearns
,,28,{675E507E-7268-40C3-B655-1082C78C744D},NL,LabradorGrenfell_RHA,2020/03/20 21:59:59+00,3,0,0,0,1,0,2,0,3.605,0.832177531206657,2020/05/05 18:00:06+00,phearns,2020/12/10 11:52:32+00,phearns
,,29,{640FC32D-AF37-4B77-B38D-2581FF6F2238},NL,LabradorGrenfell_RHA,2020/03/22 21:59:59+00,3,0,0,0,1,0,2,0,3.605,0.832177531206657,2020/05/05 18:00:06+00,phearns,2020/12/10 11:52:33+00,phearns
,,30,{BE3DF2AD-4843-4E97-8CFD-D75B5FF8ECC0},NL,LabradorGrenfell_RHA,2020/03/23 21:59:59+00,3,0,0,0,1,0,2,0,3.605,0.832177531206657,2020/05/05 18:00:06+00,phearns,2020/12/10 11:52:33+00,phearns
,,31,{6FB71827-A0FF-43C7-A33C-5B1D506D79A9},NL,LabradorGrenfell_RHA,2020/03/24 21:59:59+00,3,0,0,0,1,0,2,0,3.605,0.832177531206657,2020/05/05 18:00:06+00,phearns,2020/12/10 11:52:33+00,phearns
,,32,{37BDFF4D-CC32-4550-90C6-D052F9F88FC3},NL,LabradorGrenfell_RHA,2020/03/21 21:59:59+00,3,0,0,0,1,0,2,0,3.605,0.832177531206657,2020/05/05 18:00:07+00,phearns,2020/12/10 11:52:33+00,phearns
,,33,{ADDFC53E-5C4C-469A-9710-92D4F3212A3C},NL,LabradorGrenfell_RHA,2020/03/14 22:30:00+00,1,1,0,0,1,0,0,0,3.605,0.277392510402219,2020/05/05 18:00:07+00,phearns,2020/12/10 11:52:34+00,phearns
,,34,{BD16B887-5471-42E5-96C4-650DC0203086},NL,LabradorGrenfell_RHA,2020/03/17 22:30:00+00,3,2,0,0,1,0,2,0,3.605,0.832177531206657,2020/05/05 18:00:07+00,phearns,2020/12/10 11:52:34+00,phearns
,,35,{E98455BB-4F42-4106-B1C6-0CD16D8DB7A7},NL,labradorgrenfell_rha,2020/03/26 17:29:59+00,3,0,0,0,1,0,2,0,3.605,0.832177531206657,2020/05/05 18:00:08+00,phearns,2020/12/10 11:52:34+00,phearns
,,36,{6D58AB02-45BD-40EE-956E-6B57637B8B88},NL,LabradorGrenfell_RHA,2020/03/27 17:15:00+00,4,1,0,0,1,0,3,0,3.605,1.10957004160888,2020/05/05 18:00:08+00,phearns,2020/12/10 11:52:34+00,phearns
,,37,{4875DD28-834B-47C9-8384-EA41FF01C625},NL,LabradorGrenfell_RHA,2020/03/28 17:15:00+00,5,1,0,0,1,0,4,0,3.605,1.3869625520111,2020/05/05 18:00:08+00,phearns,2020/12/10 11:52:34+00,phearns
,,38,{94B5B049-7500-430B-90A6-F1BB6C2EE595},NL,LabradorGrenfell_RHA,2020/03/29 17:15:00+00,5,0,0,0,1,0,4,0,3.605,1.3869625520111,2020/05/05 18:00:08+00,phearns,2020/12/10 11:52:35+00,phearns
,,39,{E3A3D443-1B91-42F7-BC60-B2C342B6ABC4},NL,LabradorGrenfell_RHA,2020/03/15 17:00:00+00,1,0,0,0,1,0,0,0,3.605,0.277392510402219,2020/05/05 18:00:08+00,phearns,2020/12/10 11:52:35+00,phearns
,,40,{13C06E62-E602-4B61-A367-B18B29D2DAE8},NL,LabradorGrenfell_RHA,2020/03/16 17:00:00+00,1,0,0,0,1,0,0,0,3.605,0.277392510402219,2020/05/05 18:00:08+00,phearns,2020/12/10 11:52:35+00,phearns
,,41,{D3FB8322-D047-4E02-891F-6E0C22D55A0C},NL,LabradorGrenfell_RHA,2020/03/18 17:00:00+00,3,0,0,0,1,0,2,0,3.605,0.832177531206657,2020/05/05 18:00:09+00,phearns,2020/12/10 11:52:35+00,phearns
,,42,{9C31EC78-882B-4EC5-9D74-F585F58D1E97},NL,LabradorGrenfell_RHA,2020/03/19 17:00:00+00,3,0,0,0,1,0,2,0,3.605,0.832177531206657,2020/05/05 18:00:09+00,phearns,2020/12/10 11:52:36+00,phearns
,,43,{E8922334-CD22-43A1-89E3-B03CF99DB79B},NL,LabradorGrenfell_RHA,2020/03/30 17:15:00+00,5,0,0,0,1,0,4,0,3.605,1.3869625520111,2020/05/05 18:00:09+00,phearns,2020/12/10 11:52:36+00,phearns
,,44,{32EAB486-37B7-4887-AA61-CCED3D32A7C2},NL,LabradorGrenfell_RHA,2020/03/31 16:44:59+00,5,0,0,0,1,0,4,0,3.605,1.3869625520111,2020/05/05 18:00:09+00,phearns,2020/12/10 11:52:36+00,phearns
,,45,{A08E3CEC-464F-4A2C-BE33-A1D125AC80D9},NL,LabradorGrenfell_RHA,2020/04/01 16:44:59+00,5,0,0,0,3,0,2,0,3.605,1.3869625520111,2020/05/05 18:00:09+00,phearns,2020/12/10 11:52:36+00,phearns
,,46,{ACEF07EB-9209-4589-9D2A-CC19D3D4B85F},NL,LabradorGrenfell_RHA,2020/04/02 16:44:59+00,5,0,0,0,3,0,2,0,3.605,1.3869625520111,2020/05/05 18:00:09+00,phearns,2020/12/10 11:52:36+00,phearns
,,47,{A6750518-7820-4560-A93C-52B75858E74E},NL,LabradorGrenfell_RHA,2020/04/03 16:30:00+00,5,0,0,0,3,0,2,0,3.605,1.3869625520111,2020/05/05 18:00:10+00,phearns,2020/12/10 11:52:36+00,phearns
,,48,{3973DF63-465F-472B-B519-1678CBD79098},NL,LabradorGrenfell_RHA,2020/04/04 16:30:00+00,6,1,0,0,3,0,3,0,3.605,1.66435506241331,2020/05/05 18:00:10+00,phearns,2020/12/10 11:52:37+00,phearns
,,49,{19C5B2D4-FAAD-4AD9-AEBB-2D911B49CC2B},NL,LabradorGrenfell_RHA,2020/04/05 17:29:59+00,6,0,0,0,3,0,3,235,3.605,1.66435506241331,2020/05/05 18:00:10+00,phearns,2020/12/10 11:52:37+00,phearns
,,50,{B04FE572-9569-4088-B4F4-1BF6ED47E7E2},NL,LabradorGrenfell_RHA,2020/04/06 17:29:59+00,6,0,0,0,3,0,3,235,3.605,1.66435506241331,2020/05/05 18:00:11+00,phearns,2020/12/10 11:52:37+00,phearns
,,51,{4104D528-0024-4D1A-8A53-774A9B7888F8},NL,LabradorGrenfell_RHA,2020/04/07 17:29:59+00,6,0,0,0,4,0,2,253,3.605,1.66435506241331,2020/05/05 18:00:11+00,phearns,2020/12/10 11:52:37+00,phearns
,,52,{C9BD9BF9-9CB7-46CF-80BD-33D8835C6E76},NL,LabradorGrenfell_RHA,2020/04/08 17:15:00+00,6,0,0,0,4,0,2,258,3.605,1.66435506241331,2020/05/05 18:00:11+00,phearns,2020/12/10 11:52:37+00,phearns
,,53,{FA741B22-9C6F-4E38-B966-5E0CE6FC2203},NL,LabradorGrenfell_RHA,2020/04/09 17:45:00+00,6,0,0,0,4,0,2,272,3.605,1.66435506241331,2020/05/05 18:00:11+00,phearns,2020/12/10 11:52:37+00,phearns
,,54,{DE19CDA7-46AB-454B-8988-03CD811136D3},NL,LabradorGrenfell_RHA,2020/04/10 20:29:59+00,6,0,0,0,4,0,2,272,3.605,1.66435506241331,2020/05/05 18:00:12+00,phearns,2020/12/10 11:52:38+00,phearns
,,55,{3ACB6842-EA9B-4B49-ABCA-3940178E6A5C},NL,LabradorGrenfell_RHA,2020/04/11 17:15:00+00,6,0,0,0,4,0,2,288,3.605,1.66435506241331,2020/05/05 18:00:12+00,phearns,2020/12/10 11:52:38+00,phearns
,,56,{949BC576-70EE-4AFF-8A0A-E781C4A72F73},NL,LabradorGrenfell_RHA,2020/04/12 16:44:59+00,6,0,0,0,4,0,2,288,3.605,1.66435506241331,2020/05/05 18:00:12+00,phearns,2020/12/10 11:52:38+00,phearns
,,57,{A07678E9-4D39-4309-80AC-4FDA0A453144},NL,LabradorGrenfell_RHA,2020/04/13 19:15:00+00,6,0,0,0,4,0,2,294,3.605,1.66435506241331,2020/05/05 18:00:12+00,phearns,2020/12/10 11:52:38+00,phearns
,,58,{4F797B12-E6AB-45BC-90B4-14F2953B2DE7},NL,LabradorGrenfell_RHA,2020/04/14 17:29:59+00,6,0,0,0,4,0,2,301,3.605,1.66435506241331,2020/05/05 18:00:12+00,phearns,2020/12/10 11:52:39+00,phearns
,,59,{BCA6A17C-9DEE-482D-AD69-D3790787939A},NL,LabradorGrenfell_RHA,2020/04/15 17:00:00+00,6,0,0,0,4,0,2,306,3.605,1.66435506241331,2020/05/05 18:00:13+00,phearns,2020/12/10 11:52:39+00,phearns
,,60,{75059BDF-81F5-40FC-A767-5BAA513166CF},NL,LabradorGrenfell_RHA,2020/04/16 16:44:59+00,6,0,0,0,6,0,0,317,3.605,1.66435506241331,2020/05/05 18:00:13+00,phearns,2020/12/10 11:52:39+00,phearns
,,61,{F68618A7-E218-41DC-9897-4EADFF02A9C9},NL,LabradorGrenfell_RHA,2020/04/17 17:00:00+00,6,0,0,0,6,0,0,320,3.605,1.66435506241331,2020/05/05 18:00:13+00,phearns,2020/12/10 11:52:39+00,phearns
0.0,0.0,62,{65ECA30C-8C44-4D5C-A98A-3638D34022C1},NL,LabradorGrenfell_RHA,2020/04/18 17:29:00+00,6,0,0,0,6,0,0,336,3.605,1.66435506241331,2020/05/05 18:00:13+00,phearns,2020/05/05 18:05:26+00,phearns
0.0,0.0,63,{1F4774C5-5BE8-4FD0-A0A2-E30500BE190A},NL,LabradorGrenfell_RHA,2020/04/19 17:29:59+00,6,0,0,0,6,0,0,338,3.605,1.66435506241331,2020/05/05 18:00:13+00,phearns,2020/05/05 18:05:26+00,phearns
,,64,{DCFE05DF-9039-428B-8923-E95BA107BBD6},NL,Eastern_RHA,2020/03/25 18:30:00+00,61,13,0,0,0,0,61,0,32.315,1.88766826551137,2020/05/05 18:00:13+00,phearns,2020/12/10 11:52:39+00,phearns
,,65,{86763D62-8354-4F2B-859C-610F05B9E292},NL,Eastern_RHA,2020/03/20 21:59:59+00,1,1,0,0,0,0,1,0,32.315,0.0309453814018258,2020/05/05 18:00:14+00,phearns,2020/12/10 11:52:39+00,phearns
,,66,{F46ED089-5C6C-4AE9-948D-BD1E2CC930F8},NL,Eastern_RHA,2020/03/22 21:59:59+00,5,3,0,0,0,0,5,0,32.315,0.154726907009129,2020/05/05 18:00:14+00,phearns,2020/12/10 11:52:39+00,phearns
,,67,{F9C4FD12-1670-41E8-B48A-320ABD9AB485},NL,Eastern_RHA,2020/03/23 21:59:59+00,19,14,0,0,0,0,19,0,32.315,0.58796224663469,2020/05/05 18:00:14+00,phearns,2020/12/10 11:52:40+00,phearns
,,68,{57993C43-662C-4E1A-8753-9507D5D5E5EC},NL,Eastern_RHA,2020/03/24 21:59:59+00,30,11,0,0,0,0,30,0,32.315,0.928361442054773,2020/05/05 18:00:14+00,phearns,2020/12/10 11:52:40+00,phearns
,,69,{3754EF9D-0BC5-45B0-9DB0-006F2D480960},NL,Eastern_RHA,2020/03/21 21:59:59+00,2,1,0,0,0,0,2,0,32.315,0.0618907628036516,2020/05/05 18:00:15+00,phearns,2020/12/10 11:52:40+00,phearns
,,70,{07308A56-A15A-4395-9D95-23AA0F3A895B},NL,Eastern_RHA,2020/03/26 17:29:59+00,76,15,0,0,0,0,76,0,32.315,2.35184898653876,2020/05/05 18:00:15+00,phearns,2020/12/10 11:52:40+00,phearns
,,71,{397DBC32-67CB-482C-8338-CF9772AD37B7},NL,Eastern_RHA,2020/03/27 17:15:00+00,95,19,0,0,1,0,94,0,32.315,2.93981123317345,2020/05/05 18:00:15+00,phearns,2020/12/10 11:52:40+00,phearns
,,72,{74E85FB8-8727-4428-B8EE-E5D0DFAD0C74},NL,Eastern_RHA,2020/03/28 17:15:00+00,111,16,0,0,2,0,109,0,32.315,3.43493733560266,2020/05/05 18:00:15+00,phearns,2020/12/10 11:52:40+00,phearns
,,73,{C3C0EAC1-BD09-4358-9252-EA4BBE3A4BE1},NL,Eastern_RHA,2020/03/29 17:15:00+00,126,15,0,0,5,0,121,0,32.315,3.89911805663005,2020/05/05 18:00:15+00,phearns,2020/12/10 11:52:40+00,phearns
,,74,{6B7ABA69-8B46-4E10-B723-690A3F785019},NL,Eastern_RHA,2020/03/30 17:15:00+00,139,13,0,0,7,1,131,0,32.315,4.30140801485378,2020/05/05 18:00:16+00,phearns,2020/12/10 11:52:41+00,phearns
,,75,{5603D1A1-4C22-4790-97CD-05639EB053CB},NL,Eastern_RHA,2020/03/31 16:44:59+00,143,4,0,0,7,1,135,0,32.315,4.42518954046109,2020/05/05 18:00:16+00,phearns,2020/12/10 11:52:41+00,phearns
,,76,{13E1C74D-2757-4E13-AA50-0AE7EFB00906},NL,Eastern_RHA,2020/04/01 16:44:59+00,166,23,0,0,7,1,158,0,32.315,5.13693331270308,2020/05/05 18:00:16+00,phearns,2020/12/10 11:52:41+00,phearns
,,77,{E9545FBB-31F3-4D25-9C0D-F5EBB1A71350},NL,Eastern_RHA,2020/04/02 16:44:59+00,174,8,0,0,9,1,164,0,32.315,5.38449636391769,2020/05/05 18:00:16+00,phearns,2020/12/10 11:52:41+00,phearns
,,78,{829703EB-E5D2-406C-B462-EAE4723C6AD5},NL,Eastern_RHA,2020/04/03 16:30:00+00,186,12,0,0,21,1,164,0,32.315,5.75584094073959,2020/05/05 18:00:16+00,phearns,2020/12/10 11:52:41+00,phearns
,,79,{87EA1AE7-8E30-4222-B806-C90BB722F3C8},NL,Eastern_RHA,2020/04/04 16:30:00+00,193,7,0,0,33,1,159,0,32.315,5.97245861055238,2020/05/05 18:00:17+00,phearns,2020/12/10 11:52:42+00,phearns
,,80,{8396B1CF-7B87-4C00-AAAB-0C891769BE64},NL,Eastern_RHA,2020/04/05 17:29:59+00,207,14,0,0,41,1,165,2728,32.315,6.40569395017794,2020/05/05 18:00:17+00,phearns,2020/12/10 11:52:42+00,phearns
,,81,{B358AB24-28A5-4572-9755-04FC7CD7BC8F},NL,Eastern_RHA,2020/04/06 17:29:59+00,216,9,0,0,52,2,162,2931,32.315,6.68420238279437,2020/05/05 18:00:17+00,phearns,2020/12/10 11:52:42+00,phearns
,,82,{BD9470ED-1A42-4F7A-B2A0-FF0848423954},NL,eastern_rha,2020/04/07 17:29:59+00,217,1,0,0,65,2,150,3076,32.315,6.71514776419619,2020/05/05 18:00:17+00,phearns,2020/12/10 11:52:42+00,phearns
,,83,{3F6A18A4-2581-4BF3-A5A9-7FF2CDDE7360},NL,Eastern_RHA,2020/04/08 17:15:00+00,219,2,0,0,82,2,135,3243,32.315,6.77703852699985,2020/05/05 18:00:17+00,phearns,2020/12/10 11:52:42+00,phearns
,,84,{87C896B3-5ED0-40C7-ADC8-76EE8C239E4F},NL,Eastern_RHA,2020/04/09 17:45:00+00,221,2,0,0,94,3,124,3423,32.315,6.8389292898035,2020/05/05 18:00:17+00,phearns,2020/12/10 11:52:42+00,phearns
,,85,{97542A77-F5C4-448E-93D2-CA2A929141A8},NL,Eastern_RHA,2020/04/10 20:29:59+00,224,3,0,0,112,3,109,3423,32.315,6.93176543400897,2020/05/05 18:00:18+00,phearns,2020/12/10 11:52:43+00,phearns
,,86,{E272D514-3D74-4913-BC75-46F29F2CB71B},NL,Eastern_RHA,2020/04/11 17:15:00+00,226,2,0,0,122,3,101,3679,32.315,6.99365619681263,2020/05/05 18:00:18+00,phearns,2020/12/10 11:52:43+00,phearns
,,87,{7CFA0D16-8C9B-4E0C-A07A-00B1601B055C},NL,Eastern_RHA,2020/04/12 16:44:59+00,227,1,0,0,125,3,99,3760,32.315,7.02460157821445,2020/05/05 18:00:18+00,phearns,2020/12/10 11:52:43+00,phearns
,,88,{2CEFB219-FDFE-45B1-8F13-1DB73E4C62A9},NL,Eastern_RHA,2020/04/13 19:15:00+00,227,0,0,0,144,3,80,3805,32.315,7.02460157821445,2020/05/05 18:00:18+00,phearns,2020/12/10 11:52:43+00,phearns
,,89,{272DF888-25EE-412A-A1ED-77CFD0E1B46F},NL,Eastern_RHA,2020/04/14 17:45:00+00,227,0,0,0,154,3,70,3890,32.315,7.02460157821445,2020/05/05 18:00:18+00,phearns,2020/12/10 11:52:43+00,phearns
,,90,{59C1B6CB-050F-4377-9BDA-1E2EFB59786E},NL,Eastern_RHA,2020/04/15 17:00:00+00,229,2,0,0,164,3,62,4021,32.315,7.0864923410181,2020/05/05 18:00:18+00,phearns,2020/12/10 11:52:43+00,phearns
,,91,{4F7FA8D7-196D-43DD-BC82-43E74FEE9827},NL,Eastern_RHA,2020/04/16 16:44:59+00,234,5,0,0,168,3,63,4135,32.315,7.24121924802723,2020/05/05 18:00:19+00,phearns,2020/12/10 11:52:44+00,phearns
,,92,{A0C5E499-EEAB-4E3D-BD44-C0418CB57A5C},NL,Eastern_RHA,2020/04/17 17:00:00+00,238,4,3,0,180,3,55,4342,32.315,7.36500077363454,2020/05/05 18:00:19+00,phearns,2020/12/10 11:52:44+00,phearns
0.0,0.0,93,{ED4AA6B5-5A8E-4017-9079-77F73865EE18},NL,Eastern_RHA,2020/04/18 17:28:00+00,238,0,6,3,182,3,53,4557,32.315,7.36500077363454,2020/05/05 18:00:19+00,phearns,2020/05/05 18:05:26+00,phearns
0.0,0.0,94,{C152BD6A-0926-483A-8BE7-6A42824F4C78},NL,Eastern_RHA,2020/04/19 17:29:59+00,238,0,5,3,182,3,53,4712,32.315,7.36500077363454,2020/05/05 18:00:19+00,phearns,2020/05/05 18:05:26+00,phearns
,,95,{C21D31D8-D9FC-4D6E-B8A4-4CACE351416C},NL,Central_RHA,2020/03/25 18:30:00+00,2,0,0,0,0,0,2,0,8.959,0.223239200803661,2020/05/05 18:00:19+00,phearns,2020/12/10 11:52:44+00,phearns
,,96,{1B659AB5-962B-485B-9BE3-9CAED6A784B0},NL,Central_RHA,2020/03/22 21:59:59+00,1,0,0,0,0,0,1,0,8.959,0.111619600401831,2020/05/05 18:00:19+00,phearns,2020/12/10 11:52:44+00,phearns
,,97,{2758D167-404A-4B75-965C-42CA4F8058E9},NL,Central_RHA,2020/03/23 21:59:59+00,2,1,0,0,0,0,2,0,8.959,0.223239200803661,2020/05/05 18:00:19+00,phearns,2020/12/10 11:52:44+00,phearns
,,98,{2DF1D244-8E0B-4A77-9D2F-B70C39EF5CFD},NL,Central_RHA,2020/03/24 21:59:59+00,2,0,0,0,0,0,2,0,8.959,0.223239200803661,2020/05/05 18:00:20+00,phearns,2020/12/10 11:52:44+00,phearns
,,99,{57887F5D-017B-42C0-A2FE-11B3D5A1785D},NL,Central_RHA,2020/03/21 21:59:59+00,1,1,0,0,0,0,1,0,8.959,0.111619600401831,2020/05/05 18:00:20+00,phearns,2020/12/10 11:52:45+00,phearns
,,100,{BEABBDE2-3BCD-4B3C-8536-E3F6D5F1DE27},NL,central_rha,2020/03/26 17:29:59+00,2,0,0,0,0,0,2,0,8.959,0.223239200803661,2020/05/05 18:00:20+00,phearns,2020/12/10 11:52:45+00,phearns
,,101,{7983A421-5D27-41D6-BA7B-7AA33DE5DEC7},NL,Central_RHA,2020/03/27 17:15:00+00,2,0,0,0,0,0,2,0,8.959,0.223239200803661,2020/05/05 18:00:20+00,phearns,2020/12/10 11:52:45+00,phearns
,,102,{2F7B9D0A-5F27-487E-9041-C4DCD37CDEC6},NL,Central_RHA,2020/03/28 17:15:00+00,3,1,0,0,1,0,2,0,8.959,0.334858801205492,2020/05/05 18:00:20+00,phearns,2020/12/10 11:52:45+00,phearns
,,103,{FD4D6DB3-330F-4992-8A97-52F3FA2077EB},NL,Central_RHA,2020/03/29 17:15:00+00,3,0,0,0,1,0,2,0,8.959,0.334858801205492,2020/05/05 18:00:20+00,phearns,2020/12/10 11:52:45+00,phearns
,,104,{79740BDF-4776-43E3-9949-1A6FBD91B709},NL,Central_RHA,2020/03/30 17:15:00+00,3,0,0,0,1,0,2,0,8.959,0.334858801205492,2020/05/05 18:00:21+00,phearns,2020/12/10 11:52:45+00,phearns
,,105,{64539410-43C0-4BEB-8015-8373D27DAFDA},NL,Central_RHA,2020/03/31 16:44:59+00,3,0,0,0,1,0,2,0,8.959,0.334858801205492,2020/05/05 18:00:21+00,phearns,2020/12/10 11:52:45+00,phearns
,,106,{37FB0EDD-8ECA-4ECF-8AE1-6306D695FEF6},NL,Central_RHA,2020/04/01 16:44:59+00,3,0,0,0,1,0,2,0,8.959,0.334858801205492,2020/05/05 18:00:21+00,phearns,2020/12/10 11:52:46+00,phearns
,,107,{0BA547B9-A037-4C18-BD88-A8D104649EC0},NL,Central_RHA,2020/04/02 16:44:59+00,3,0,0,0,1,0,2,0,8.959,0.334858801205492,2020/05/05 18:00:21+00,phearns,2020/12/10 11:52:46+00,phearns
,,108,{EA11B076-1ACA-4C8B-A127-01D1DC18AB5F},NL,Central_RHA,2020/04/03 16:30:00+00,3,0,0,0,1,0,2,0,8.959,0.334858801205492,2020/05/05 18:00:21+00,phearns,2020/12/10 11:52:46+00,phearns
