X,Y,objectid,globalid,prov,regional_health_authority,date_updated,total_number_of_cases,new_cases,currently_hospitalized,current_in_icu,total_number_recovered,total_number_of_deaths,active_cases,total_people_tested,Population,CasesPer10KPop,CreationDate,Creator,EditDate,Editor
-54.1723550999999,48.3528635000001,1112,{9D074596-A09C-46BA-AFB5-E580161809DE},NL,labradorgrenfell_rha,2020/12/31 18:06:00+00,7,0,0,0,7,0,0,4192,0.4005,17.478152309613,2020/12/31 18:06:36+00,phearns,2020/12/31 18:06:36+00,phearns
-52.7818553,47.5528565000001,1113,{587E7DAA-0D86-46CE-BF1B-55386062C14F},NL,eastern_rha,2021/01/02 17:32:59+00,320,0,1,1,304,3,10,48781,3.1313,102.193976942484,2021/01/02 17:35:35+00,phearns,2021/01/02 17:35:35+00,phearns
-52.7818497,47.5528598000001,1114,{0BE94984-987F-4012-9C94-EB0B54A1530D},NL,central_rha,2021/01/02 17:34:00+00,34,0,0,0,34,0,0,9983,0.9276,36.6537300560586,2021/01/02 17:35:36+00,phearns,2021/01/02 17:35:36+00,phearns
-52.7818477,47.5528591,1115,{1A4CDBB7-3E3D-48E1-84F3-B5562D1F1BF0},NL,western_rha,2021/01/02 17:34:00+00,29,0,0,0,27,1,1,9887,0.7734,37.4967675200414,2021/01/02 17:35:36+00,phearns,2021/01/02 17:35:36+00,phearns
-52.7818472,47.5528583,1116,{77DD18B3-97E9-4BEA-B7E7-4B68C17525EE},NL,labradorgrenfell_rha,2021/01/02 17:35:00+00,7,0,0,0,7,0,0,4203,0.4005,17.478152309613,2021/01/02 17:35:37+00,phearns,2021/01/02 17:35:37+00,phearns
-55.927045,48.9526264,1117,{ED5BD92D-5DDE-44AE-9C0E-870EE4AF22A6},NL,eastern_rha,2021/01/03 17:26:59+00,320,0,1,1,305,3,9,48948,3.1313,102.193976942484,2021/01/03 17:33:56+00,phearns,2021/01/03 17:33:56+00,phearns
-55.9454413999999,48.9532528,1118,{2A5508D3-487A-460B-B009-58183732A762},NL,central_rha,2021/01/03 17:28:00+00,34,0,0,0,34,0,0,9996,0.9276,36.6537300560586,2021/01/03 17:33:57+00,phearns,2021/01/03 17:33:57+00,phearns
-55.9668043,48.9572917,1119,{78F24C9A-D354-49F7-A984-224E63D8F543},NL,western_rha,2021/01/03 17:29:00+00,29,0,0,0,28,1,0,9908,0.7734,37.4967675200414,2021/01/03 17:33:57+00,phearns,2021/01/03 17:33:57+00,phearns
-56.0010066999999,48.9678893000001,1120,{3259A996-DFE0-46AA-9FE8-72A05E93E978},NL,labradorgrenfell_rha,2021/01/03 17:29:59+00,7,0,0,0,7,0,0,4227,0.4005,17.478152309613,2021/01/03 17:33:58+00,phearns,2021/01/03 17:33:58+00,phearns
0.0,0.0,1121,{9F955E1C-155C-4BD8-9345-4EF131EEDD79},NL,eastern_rha,2021/01/04 19:04:00+00,320,0,1,1,305,3,9,49096,3.1313,102.193976942484,2021/01/04 19:07:09+00,phearns,2021/01/04 19:07:09+00,phearns
0.0,0.0,1122,{B0797E63-A18B-432F-93D8-59E7A53E6ACC},NL,central_rha,2021/01/04 19:05:59+00,35,1,0,0,34,0,1,10014,0.9276,37.7317809400604,2021/01/04 19:07:10+00,phearns,2021/01/04 19:07:10+00,phearns
0.0,0.0,1123,{74EDBD8B-E461-407C-A8EB-95AC004C554C},NL,western_rha,2021/01/04 19:05:59+00,29,0,0,0,28,1,0,9936,0.7734,37.4967675200414,2021/01/04 19:07:10+00,phearns,2021/01/04 19:07:10+00,phearns
0.0,0.0,1124,{218375C3-D65E-4933-88F1-C1620BB133FE},NL,labradorgrenfell_rha,2021/01/04 19:05:59+00,7,0,0,0,7,0,0,4236,0.4005,17.478152309613,2021/01/04 19:07:10+00,phearns,2021/01/04 19:07:10+00,phearns
0.0,0.0,1125,{CB6B5746-0BA2-4D37-A2D8-D69E49C24A55},NL,eastern_rha,2021/01/05 17:36:59+00,321,1,1,1,305,3,10,49305,3.1313,102.513333120429,2021/01/05 17:47:19+00,phearns,2021/01/05 17:47:19+00,phearns
0.0,0.0,1126,{0DB6CD05-D448-4072-8DB5-00047802FA5F},NL,central_rha,2021/01/05 17:44:00+00,35,0,0,0,34,0,1,10025,,,2021/01/05 17:47:19+00,phearns,2021/01/05 17:47:19+00,phearns
0.0,0.0,1127,{4D32E89B-5C7A-44BD-9419-EBAF3263CCAB},NL,western_rha,2021/01/05 17:45:59+00,29,0,0,0,28,1,0,9951,0.7734,37.4967675200414,2021/01/05 17:47:19+00,phearns,2021/01/05 17:47:19+00,phearns
0.0,0.0,1128,{FFF9B9F1-1C8E-4466-AC26-AA9E6F0AC53D},NL,labradorgrenfell_rha,2021/01/05 17:47:00+00,7,0,0,0,7,0,0,4227,0.4005,17.478152309613,2021/01/05 17:47:20+00,phearns,2021/01/05 17:47:20+00,phearns
0.0,0.0,1129,{7139BBD9-07C6-491D-B609-22E427866A33},NL,central_rha,2021/01/05 17:48:59+00,35,0,0,0,34,0,1,10025,0.9276,37.7317809400604,2021/01/05 17:49:41+00,phearns,2021/01/05 17:49:41+00,phearns
0.0,0.0,1130,{88AD163B-6074-48E7-A88A-002E87D2F3BD},NL,eastern_rha,2021/01/06 17:28:00+00,321,0,1,1,307,3,8,49465,3.1313,102.513333120429,2021/01/06 17:34:53+00,phearns,2021/01/06 17:42:19+00,phearns
0.0,0.0,1131,{29F18A1A-A8B2-40E6-B736-91D4745A7789},NL,central_rha,2021/01/06 17:28:00+00,35,0,0,0,34,0,1,10066,0.9276,37.7317809400604,2021/01/06 17:34:54+00,phearns,2021/01/06 17:34:54+00,phearns
0.0,0.0,1132,{E39644B7-FA3F-49C2-B8A9-67A6DD0EDD35},NL,western_rha,2021/01/06 17:29:00+00,29,0,0,0,28,1,0,9997,0.7734,37.4967675200414,2021/01/06 17:34:54+00,phearns,2021/01/06 17:34:54+00,phearns
0.0,0.0,1133,{82A8B39E-564C-4A8B-B377-C76565ABF928},NL,labradorgrenfell_rha,2021/01/06 17:29:00+00,7,0,0,0,7,0,0,4247,0.4005,17.478152309613,2021/01/06 17:34:55+00,phearns,2021/01/06 17:34:55+00,phearns
0.0,0.0,1134,{71675770-7967-45A9-8474-7E5DB11451CF},NL,eastern_rha,2021/01/07 17:16:59+00,321,0,1,1,307,3,8,49653,3.1313,102.513333120429,2021/01/07 17:32:54+00,phearns,2021/01/07 17:32:54+00,phearns
0.0,0.0,1135,{85A4868B-40D6-4C46-92C8-E8DA5339A33D},NL,central_rha,2021/01/07 17:18:00+00,35,0,0,0,34,0,1,10090,0.9276,37.7317809400604,2021/01/07 17:32:54+00,phearns,2021/01/07 17:32:54+00,phearns
0.0,0.0,1136,{F6BB3FDC-CB85-4B80-8CD7-2688225F2AD1},NL,western_rha,2021/01/07 17:18:00+00,29,0,0,0,28,1,0,10030,0.7734,37.4967675200414,2021/01/07 17:32:55+00,phearns,2021/01/07 17:32:55+00,phearns
0.0,0.0,1137,{282BA1BB-F779-410B-90C0-A1DC2F869173},NL,labradorgrenfell_rha,2021/01/07 17:18:00+00,7,0,0,0,7,0,0,4260,0.4005,17.478152309613,2021/01/07 17:32:55+00,phearns,2021/01/07 17:32:55+00,phearns
0.0,0.0,1138,{1CE1E20E-D74F-4660-A327-2B05B01E7E91},NL,eastern_rha,2021/01/08 17:26:59+00,321,0,1,1,307,3,8,49826,3.1313,102.513333120429,2021/01/08 17:31:35+00,phearns,2021/01/08 17:31:35+00,phearns
0.0,0.0,1139,{9EFA9C9D-B421-4EA6-91B9-F0EE2D6003FC},NL,central_rha,2021/01/08 17:26:59+00,35,0,0,0,34,0,1,10121,0.9276,37.7317809400604,2021/01/08 17:31:35+00,phearns,2021/01/08 17:31:35+00,phearns
0.0,0.0,1140,{74D2F0F4-781C-47B7-853F-AFB59122204B},NL,western_rha,2021/01/08 17:28:00+00,29,0,0,0,28,1,0,10047,0.7734,37.4967675200414,2021/01/08 17:31:36+00,phearns,2021/01/08 17:31:36+00,phearns
0.0,0.0,1141,{3A03365A-866F-44DF-AE8E-9B10F9569F86},NL,labradorgrenfell_rha,2021/01/08 17:28:00+00,7,0,0,0,7,0,0,4273,0.4005,17.478152309613,2021/01/08 17:31:36+00,phearns,2021/01/08 17:31:36+00,phearns
-57.9245157999999,48.9457391,1142,{4023CE92-2B5A-4926-ACB3-0DC48FABE509},NL,eastern_rha,2021/01/09 16:59:00+00,321,0,1,1,312,3,3,49958,3.1313,102.513333120429,2021/01/09 17:42:12+00,phearns,2021/01/09 17:42:12+00,phearns
-57.9245188,48.9457397,1143,{113B7C47-C6AF-41C9-9430-F909F1E08274},NL,central_rha,2021/01/09 17:00:00+00,35,0,0,0,34,0,1,10160,0.9276,37.7317809400604,2021/01/09 17:42:13+00,phearns,2021/01/09 17:42:13+00,phearns
-57.9245526,48.9457443000001,1144,{CA90F04B-5819-40FC-908B-32AA369DDE1D},NL,western_rha,2021/01/09 17:00:00+00,29,0,0,0,28,1,0,10095,0.7734,37.4967675200414,2021/01/09 17:42:13+00,phearns,2021/01/09 17:42:13+00,phearns
-57.9245610999999,48.9457435,1145,{1B5C3F36-DB8C-4EAA-A4F0-FE44078CF739},NL,labradorgrenfell_rha,2021/01/09 17:00:59+00,7,0,0,0,7,0,0,4280,0.4005,17.478152309613,2021/01/09 17:42:13+00,phearns,2021/01/09 17:42:13+00,phearns
-57.9394301,48.9507418000001,1146,{EA1B8EE9-AE20-4E25-9232-E0AF7F4F1507},NL,eastern_rha,2021/01/10 17:32:59+00,322,1,1,1,312,3,4,50055,3.1313,102.832689298374,2021/01/10 17:42:28+00,phearns,2021/01/10 17:42:28+00,phearns
-57.9394224,48.9507347000001,1147,{DF979F00-F469-45B0-A3CF-1847BB688FA8},NL,central_rha,2021/01/10 17:32:59+00,35,0,0,0,34,0,1,10170,0.9276,37.7317809400604,2021/01/10 17:42:29+00,phearns,2021/01/10 17:42:29+00,phearns
-57.9245959,48.9457414,1148,{3C58C4F7-FE9A-41FE-A844-7E7FCD0CE9E4},NL,western_rha,2021/01/10 17:41:00+00,29,0,0,0,28,1,0,10130,0.7734,37.4967675200414,2021/01/10 17:42:30+00,phearns,2021/01/10 17:42:30+00,phearns
-57.9245931999999,48.9457423000001,1149,{DBA672A8-2C47-4F38-A304-9BC7BE2C63E6},NL,labradorgrenfell_rha,2021/01/10 17:41:00+00,7,0,0,0,7,0,0,4290,,,2021/01/10 17:42:31+00,phearns,2021/01/10 17:42:31+00,phearns
0.0,0.0,1150,{8E9C299E-40AF-481E-A355-4718A17D54BC},NL,eastern_rha,2021/01/11 17:47:00+00,322,0,1,1,312,3,4,50204,3.1313,102.832689298374,2021/01/11 17:49:45+00,phearns,2021/01/11 17:49:45+00,phearns
0.0,0.0,1151,{2A1E38A3-A791-4710-9974-25C96FE17E89},NL,central_rha,2021/01/11 17:48:00+00,35,0,0,0,34,0,1,10179,0.9276,37.7317809400604,2021/01/11 17:49:45+00,phearns,2021/01/11 17:49:45+00,phearns
0.0,0.0,1152,{B1222EEF-E361-4B98-A8ED-5F64DFBF6427},NL,western_rha,2021/01/11 17:48:00+00,29,0,0,0,28,1,0,10130,0.7734,37.4967675200414,2021/01/11 17:49:46+00,phearns,2021/01/11 17:49:46+00,phearns
0.0,0.0,1153,{1C24C000-1206-40AC-B414-4D28E8749C97},NL,labradorgrenfell_rha,2021/01/11 17:48:59+00,7,0,0,0,7,0,0,4301,0.4005,17.478152309613,2021/01/11 17:49:46+00,phearns,2021/01/11 17:49:46+00,phearns
0.0,0.0,1154,{16533E80-DA33-4E8B-AED6-64A1404FAAC7},NL,eastern_rha,2021/01/12 17:26:59+00,322,0,1,1,313,3,3,50435,3.1313,102.832689298374,2021/01/12 17:36:20+00,phearns,2021/01/12 17:36:20+00,phearns
0.0,0.0,1155,{AF87B63D-FBFA-4373-946E-21CA3A93CC5F},NL,central_rha,2021/01/12 17:26:59+00,35,0,0,0,34,0,1,10182,0.9276,37.7317809400604,2021/01/12 17:36:21+00,phearns,2021/01/12 17:36:21+00,phearns
0.0,0.0,1156,{896A034C-BCB2-4F96-9223-A2F724DB44F2},NL,western_rha,2021/01/12 17:28:00+00,29,0,0,0,28,1,0,10162,0.7734,37.4967675200414,2021/01/12 17:36:21+00,phearns,2021/01/12 17:36:21+00,phearns
0.0,0.0,1157,{CA87E58B-D768-4DA9-BC08-A318F81C71FB},NL,labradorgrenfell_rha,2021/01/12 17:28:00+00,7,0,0,0,7,0,0,4324,0.4005,17.478152309613,2021/01/12 17:36:21+00,phearns,2021/01/12 17:36:21+00,phearns
0.0,0.0,1158,{4775F066-86EF-4CCC-95F9-68024D47CB15},NL,eastern_rha,2021/01/13 16:53:00+00,322,0,1,1,313,3,3,50633,3.1313,102.832689298374,2021/01/13 17:36:20+00,phearns,2021/01/13 17:36:20+00,phearns
0.0,0.0,1159,{638868E4-E9C4-4361-BC7A-CA58F09C9636},NL,central_rha,2021/01/13 16:54:00+00,35,0,0,0,35,0,0,10215,0.9276,37.7317809400604,2021/01/13 17:36:20+00,phearns,2021/01/13 17:36:20+00,phearns
0.0,0.0,1160,{A448125E-09F0-4957-8D30-6659D5E9C9AB},NL,western_rha,2021/01/13 16:54:00+00,29,0,0,0,28,1,0,10219,0.7734,37.4967675200414,2021/01/13 17:36:21+00,phearns,2021/01/13 17:36:21+00,phearns
0.0,0.0,1161,{C7BDEFD8-7686-45E8-871A-758E5D5DB764},NL,labradorgrenfell_rha,2021/01/13 16:54:00+00,7,0,0,0,7,0,0,4345,0.4005,17.478152309613,2021/01/13 17:36:21+00,phearns,2021/01/13 17:36:21+00,phearns
0.0,0.0,1162,{9630CD2F-3654-4C2E-9C48-57EEC9AE73FE},NL,eastern_rha,2021/01/14 17:58:59+00,323,1,1,1,313,3,4,50902,3.1313,103.15204547632,2021/01/14 18:01:02+00,phearns,2021/01/14 18:53:18+00,phearns
0.0,0.0,1163,{561BE7AF-C090-4954-A034-00621393082B},NL,central_rha,2021/01/14 18:00:00+00,35,0,0,0,35,0,0,10244,0.9276,37.7317809400604,2021/01/14 18:01:03+00,phearns,2021/01/14 18:53:11+00,phearns
0.0,0.0,1164,{6BC5B2D6-3078-4458-8DFD-627D625F354F},NL,western_rha,2021/01/14 18:00:00+00,29,0,0,0,28,1,0,10264,0.7734,37.4967675200414,2021/01/14 18:01:03+00,phearns,2021/01/14 18:53:40+00,phearns
0.0,0.0,1165,{729B21D8-DC99-4CA0-A957-F1ED276A6BA7},NL,labradorgrenfell_rha,2021/01/14 18:00:00+00,7,0,0,0,7,0,0,4367,0.4005,17.478152309613,2021/01/14 18:01:03+00,phearns,2021/01/14 18:53:36+00,phearns
0.0,0.0,1166,{03B7CDB0-5481-4B0A-90EA-D32FB10CD525},NL,eastern_rha,2021/01/15 17:34:00+00,324,1,1,1,313,3,5,51031,3.1313,103.471401654265,2021/01/15 17:35:49+00,phearns,2021/01/15 17:35:49+00,phearns
0.0,0.0,1167,{EB670DFE-02A6-4F7F-82C0-B4232BF80736},NL,central_rha,2021/01/15 17:34:00+00,35,0,0,0,35,0,0,10277,0.9276,37.7317809400604,2021/01/15 17:35:50+00,phearns,2021/01/15 17:35:50+00,phearns
0.0,0.0,1168,{1F346F68-32E9-458A-B77D-59D9A3BBB42D},NL,western_rha,2021/01/15 17:34:00+00,29,0,0,0,28,1,0,10279,0.7734,37.4967675200414,2021/01/15 17:35:50+00,phearns,2021/01/15 17:35:50+00,phearns
0.0,0.0,1169,{8E4C70E4-C426-4D1A-9FDE-1822FDA5B7BD},NL,labradorgrenfell_rha,2021/01/15 17:35:00+00,7,0,0,0,7,0,0,4386,0.4005,17.478152309613,2021/01/15 17:35:51+00,phearns,2021/01/15 17:35:51+00,phearns
-57.9246813999999,48.9456948000001,1170,{7E9158BF-5313-4656-8CAD-C129C37B8DD8},NL,eastern_rha,2021/01/16 16:42:00+00,324,0,1,1,313,3,5,51137,3.1313,103.471401654265,2021/01/16 17:40:50+00,phearns,2021/01/16 17:40:50+00,phearns
-57.9246778999999,48.9456970000001,1171,{B5C1F60B-EF90-491F-94AA-9226E19044E6},NL,central_rha,2021/01/16 16:42:00+00,35,0,0,0,35,0,0,10297,0.9276,37.7317809400604,2021/01/16 17:40:51+00,phearns,2021/01/16 17:40:51+00,phearns
-57.9246772,48.9457014000001,1172,{87A9942A-A156-4BDD-A8C8-FA7BF6A6269C},NL,western_rha,2021/01/16 16:43:00+00,29,0,0,0,28,1,0,10301,0.7734,37.4967675200414,2021/01/16 17:40:51+00,phearns,2021/01/16 17:40:51+00,phearns
-57.924677,48.9457047000001,1173,{C80B1D87-2FB5-4404-97C9-79AE323D7930},NL,labradorgrenfell_rha,2021/01/16 16:43:00+00,7,0,0,0,7,0,0,4395,0.4005,17.478152309613,2021/01/16 17:40:51+00,phearns,2021/01/16 17:40:51+00,phearns
-57.9245076999999,48.945706,1174,{A5BEACD2-8E81-4C7C-85FD-E7BFA88FACF0},NL,eastern_rha,2021/01/17 17:16:59+00,325,1,1,1,313,3,6,51226,3.1313,103.79075783221,2021/01/17 17:36:21+00,phearns,2021/01/17 17:36:21+00,phearns
-57.9245139999999,48.9457202,1175,{48B7C854-F9FF-4E87-A776-96E7F4413E02},NL,central_rha,2021/01/17 17:16:59+00,35,0,0,0,35,0,0,10339,0.9276,37.7317809400604,2021/01/17 17:36:21+00,phearns,2021/01/17 17:36:21+00,phearns
