date,under 20,20-39,40-49,50-59,60-69,70,health_authority
2021-02-17,14,8,9,5,4,2,eastern_ha
2021-02-16,2,1,2,0,0,1,eastern_ha
2021-02-15,1,0,1,0,2,2,eastern_ha
2021-02-14,3,2,2,3,0,0,eastern_ha
2021-02-13,9,2,9,0,3,3,eastern_ha
2021-02-12,20,4,16,3,2,2,eastern_ha
2021-02-11,74,10,4,6,1,4,eastern_ha
2021-02-10,0,4,4,1,0,0,eastern_ha
2021-02-09,0,2,5,6,1,2,eastern_ha
2021-02-08,0,0,4,1,0,1,eastern_ha
2021-02-07,0,0,0,0,0,0,eastern_ha
2021-02-06,0,0,0,0,0,0,eastern_ha
2021-02-04,0,0,0,0,0,0,eastern_ha
2021-02-03,0,0,0,0,0,0,eastern_ha
2020-12-09,0,0,0,0,0,0,eastern_ha
2020-04-30,0,0,0,0,0,0,eastern_ha
