date,under 20,20-39,40-49,50-59,60-69,70,health_authority
2021-03-10,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-09,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-07,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-06,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-05,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-04,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-03,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-02,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-01,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-28,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-26,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-25,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-23,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-21,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-20,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-19,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-18,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-17,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-16,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-15,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-14,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-13,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-12,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-11,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-10,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-09,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-07,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-06,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-04,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-03,0,0,0,0,0,0,labradorgrenfell_ha
2020-12-09,0,0,0,0,0,0,labradorgrenfell_ha
2020-04-30,0,0,0,0,0,0,labradorgrenfell_ha
